Transaction Date,Product Name,Quantity Sold,Revenue,Profit Margin,Store Location
2023-01-01,Milk,61,1032.12,14.76,New York
2023-01-01,Bananas,74,526.14,17.82,New York
2023-01-01,Chicken,52,325.0,15.41,New York
2023-01-01,Soda,100,1745.0,10.91,New York
2023-01-01,Chips,64,757.12,6.96,New York
2023-01-01,Bread,48,765.12,14.19,New York
2023-01-01,Bananas,75,345.75,21.96,Los Angeles
2023-01-01,Chicken,14,224.42,23.86,Los Angeles
2023-01-01,Soda,11,106.59,19.68,Los Angeles
2023-01-01,Chips,70,494.2,8.22,Los Angeles
2023-01-01,Bread,70,1178.8,9.45,Los Angeles
2023-01-01,Milk,73,1268.01,16.86,Chicago
2023-01-01,Bananas,92,1430.6,9.11,Chicago
2023-01-01,Chicken,81,987.39,7.59,Chicago
2023-01-01,Soda,10,44.4,22.83,Chicago
2023-01-01,Chips,28,477.96,21.74,Chicago
2023-01-01,Bread,70,327.6,23.97,Chicago
2023-01-01,Milk,86,1401.8,24.86,Houston
2023-01-01,Bananas,13,65.39,13.78,Houston
2023-01-01,Chicken,37,246.05,23.32,Houston
2023-01-01,Soda,40,325.6,7.14,Houston
2023-01-01,Chips,38,571.14,12.58,Houston
2023-01-01,Bread,66,441.54,11.22,Houston
2023-01-01,Milk,50,894.0,17.52,Phoenix
2023-01-01,Bananas,100,714.0,7.66,Phoenix
2023-01-01,Chicken,67,168.17,20.55,Phoenix
2023-01-01,Soda,36,269.28,17.79,Phoenix
2023-01-01,Chips,49,392.0,21.88,Phoenix
2023-01-01,Bread,23,120.29,17.97,Phoenix
2023-01-02,Milk,92,1114.12,21.99,New York
2023-01-02,Bananas,53,388.49,10.34,New York
2023-01-02,Chicken,22,185.46,9.43,New York
2023-01-02,Soda,25,334.5,24.79,New York
2023-01-02,Chips,57,713.64,16.62,New York
2023-01-02,Bread,33,440.22,11.4,New York
2023-01-02,Milk,72,308.88,19.47,Los Angeles
2023-01-02,Bananas,73,274.48,11.54,Los Angeles
2023-01-02,Chicken,33,496.32,12.46,Los Angeles
2023-01-02,Soda,37,559.07,17.18,Los Angeles
2023-01-02,Chips,31,281.79,12.76,Los Angeles
2023-01-02,Bread,34,196.86,23.64,Los Angeles
2023-01-02,Milk,46,408.48,8.87,Chicago
2023-01-02,Bananas,16,102.08,20.08,Chicago
2023-01-02,Chicken,53,695.89,13.51,Chicago
2023-01-02,Soda,47,554.6,17.24,Chicago
2023-01-02,Chips,20,178.2,18.88,Chicago
2023-01-02,Bread,34,514.08,14.47,Chicago
2023-01-02,Milk,88,1633.28,15.15,Houston
2023-01-02,Bananas,75,1118.25,22.35,Houston
2023-01-02,Chicken,58,682.08,19.53,Houston
2023-01-02,Soda,74,557.22,13.5,Houston
2023-01-02,Chips,93,689.13,22.95,Houston
2023-01-02,Bread,25,313.0,9.74,Houston
2023-01-02,Milk,48,437.76,6.15,Phoenix
